"driver_id","trip_id","started_at","acc_3050_avg","acc_5090_avg","gyroscope_distance_avg","acc_highway_sq_of_diff"
29,"153223DA-8A19-4DFA-A620-D41919C52433","2021-03-10 12:37:49.0",1.17153,0.829515,0.0471937,0.0
29,"15466A71-B66E-4681-8258-5764A333E39D","2021-10-21 15:27:25.0",1.81532,1.16793,0.14546,0.0
29,"156F6FF6-867B-4480-809E-F9104582C657","2021-10-09 14:49:43.0",0.792,0.808,0.226744,0.0
29,"15981670-CF3C-4DB4-BF94-5B9CB34CE532","2021-04-28 17:21:19.0",1.48667,1.36267,0.0707775,0.0
29,"160DA983-A20B-47A3-914C-8DB8CCBFD315","2021-02-18 08:01:30.0",1.52179,1.1312,0.0988668,0.0
29,"163CC03D-B2C4-4B56-BDF3-A5CA440BF81C","2021-09-14 18:44:03.0",1.64649,0.925714,0.0785525,0.0
29,"163DAD19-4BF5-42C7-AE25-0006442BF38E","2021-05-22 10:51:11.0",2.00615,1.07077,0.0886834,0.0
29,"1707E63C-D9AB-4423-BD84-701E7E63925A","2021-06-03 21:06:50.0",1.43333,0.0,0.0778082,0.0
29,"176B0240-EBBD-4B3A-A181-39E4C223EEDB","2021-10-02 10:42:11.0",0.999712,0.0,0.0578643,0.0
29,"18482209-68B3-4921-848E-977366818C76","2020-05-12 18:16:29.0",1.45179,1.21452,0.122229,
29,"184C65D9-3DC2-4483-A5A8-8C6D72FD0D2C","2021-05-15 14:56:06.0",1.94791,1.60744,0.247823,4.29408
29,"18AD5B42-BC14-42D5-9E22-EC75F7A3D74B","2021-10-04 11:06:36.0",2.10584,1.83153,0.0968328,0.0
29,"18DCE158-2A25-4100-9992-BD452F4BA514","2020-05-20 16:16:33.0",1.9181,1.32414,0.22972,
29,"1951302F-5B1C-46EA-8415-149C470F3994","2021-04-29 13:29:03.0",1.49032,0.0,0.1072,0.0
29,"1958080D-8A69-4228-B498-8B49C4266E92","2021-09-28 09:29:45.0",1.02952,1.03071,0.039534,0.0
